TIRANA,ALBANIA,TIA,LATI
HOUSTON,USA,IAH
SAN-FRANCISCO,USA,SFO
NEW-YORK-CITY,USA,JFK
DETROIT,USA,DTW
BOSTON,USA,BOS
PHILADELPHIA,USA,PHL
WASHINGTON,USA,DCA
DALLAS,United States,DFW
DENVER,United States,DEN
CHICAGO,United States,ORD
LOS-ANGELES,United States,LAX
SEATTLE,United States,SEA
MIAMI,United States,MIA
HOUSTON,United States,IAH
SAN-FRANCISCO,United States,SFO
NEW-YORK-CITY,United States,JFK
DETROIT,United States,DTW
BOSTON,United States,BOS
PHILADELPHIA,United States,PHL
WASHINGTON,United States,DCA
ABERDEEN,ENGLAND,AB,EGPD
BELFASTCITY,ENGLAND,BHD,EGAC
BELFAST-INTERNATIONAL,ENGLAND,BFS,EGAA
BIRMINGHAM,ENGLAND,BHX,ETBB
BRISTOL,ENGLAND,BRS,EGGD
CARDIFF,ENGLAND,CWL,EGFF
DONCASTER-SHEFFIELD,ENGLAND,DSA,EGCN
EASTMIDLANDS,ENGLAND,EMA,EGNX
EDINBURGH,ENGLAND,EDI,EGPH
EXETER,ENGLAND,EXT,ETS
GLASGOW,ENGLAND,GLA,ECPF
HUMBERSIDE,ENGLAND,HUY,EGNJ
JERSEY,ENGLAND,JER,EGJJ
LEEDS-BRADFORD,ENGLAND,LBA,EGNM
LIVERPOOL,ENGLAND,LPL,EGGP
LONDON,ENGLAND,LHR,EGLL
MANCHESTER,ENGLAND,MAN,EGCC
AGADIR,MOROCCO,AGA
CASABLANKA,MOROCCO,CMN
MARRAKESH,MOROCCO,RAK
